2025-02-21 18:21:26,521 - logger - INFO - Logger is setup
2025-02-21 18:23:32,504 - logger - INFO - Logger is setup
2025-02-21 18:27:29,574 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:24.5', 'value': 4902.9375, 'unit': 'Seconds'}
2025-02-21 18:27:35,575 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:35.5', 'value': 0.3, 'unit': 'Percent'}
2025-02-21 18:27:35,575 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:35.5', 'value': 4903.65625, 'unit': 'Seconds'}
2025-02-21 18:27:40,576 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:35.5', 'value': 0.3, 'unit': 'Percent'}
2025-02-21 18:27:40,576 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:35.5', 'value': 4903.65625, 'unit': 'Seconds'}
2025-02-21 18:27:46,577 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:46.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:27:46,577 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:46.5', 'value': 4904.015625, 'unit': 'Seconds'}
2025-02-21 18:27:51,578 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:46.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:27:51,578 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:46.5', 'value': 4904.015625, 'unit': 'Seconds'}
2025-02-21 18:27:57,580 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:57.5', 'value': 1.3, 'unit': 'Percent'}
2025-02-21 18:27:57,580 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:57.5', 'value': 4904.375, 'unit': 'Seconds'}
2025-02-21 18:28:02,580 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:57.5', 'value': 1.3, 'unit': 'Percent'}
2025-02-21 18:28:02,581 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:57.5', 'value': 4904.375, 'unit': 'Seconds'}
2025-02-21 18:28:08,582 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:28:08.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:28:08,583 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:28:08.5', 'value': 4904.8125, 'unit': 'Seconds'}
2025-02-21 18:28:13,584 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:28:08.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:28:13,584 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:28:08.5', 'value': 4904.8125, 'unit': 'Seconds'}
2025-02-21 18:28:19,586 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:28:19.5', 'value': 1.6, 'unit': 'Percent'}
2025-02-21 18:28:19,586 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:28:19.5', 'value': 4905.25, 'unit': 'Seconds'}
2025-02-21 18:28:24,587 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:28:19.5', 'value': 1.6, 'unit': 'Percent'}
2025-02-21 18:28:24,587 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:28:19.5', 'value': 4905.25, 'unit': 'Seconds'}
2025-02-21 18:28:30,589 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:28:30.5', 'value': 0.2, 'unit': 'Percent'}
2025-02-21 18:28:30,589 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:28:30.5', 'value': 4905.578125, 'unit': 'Seconds'}
2025-02-21 18:28:35,590 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:28:30.5', 'value': 0.2, 'unit': 'Percent'}
2025-02-21 18:28:35,591 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:28:30.5', 'value': 4905.578125, 'unit': 'Seconds'}
